gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,geometry,구분
다라29ba68bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.159,2022,202210,"MULTIPOLYGON (((929500 1668750, 929500 1669000, 929750 1669000, 929750 1668750, 929500 1668750)))",종합병원
다라29ab69bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.091,2022,202210,"MULTIPOLYGON (((929250 1669750, 929250 1670000, 929500 1670000, 929500 1669750, 929250 1669750)))",종합병원
다라30ab69aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.84,2022,202210,"MULTIPOLYGON (((930250 1669000, 930250 1669250, 930500 1669250, 930500 1669000, 930250 1669000)))",종합병원
다라29ba69bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.315,2022,202210,"MULTIPOLYGON (((929500 1669750, 929500 1670000, 929750 1670000, 929750 1669750, 929500 1669750)))",종합병원
다라29ba69aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.023,2022,202210,"MULTIPOLYGON (((929500 1669000, 929500 1669250, 929750 1669250, 929750 1669000, 929500 1669000)))",종합병원
다라30aa68bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.953,2022,202210,"MULTIPOLYGON (((930000 1668750, 930000 1669000, 930250 1669000, 930250 1668750, 930000 1668750)))",종합병원
다라30ab68ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,5.023,2022,202210,"MULTIPOLYGON (((930250 1668500, 930250 1668750, 930500 1668750, 930500 1668500, 930250 1668500)))",종합병원
다라29ba69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.147,2022,202210,"MULTIPOLYGON (((929500 1669250, 929500 1669500, 929750 1669500, 929750 1669250, 929500 1669250)))",종합병원
다라29bb68ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.446,2022,202210,"MULTIPOLYGON (((929750 1668500, 929750 1668750, 930000 1668750, 930000 1668500, 929750 1668500)))",종합병원
다라30ab68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,5.216,2022,202210,"MULTIPOLYGON (((930250 1668250, 930250 1668500, 930500 1668500, 930500 1668250, 930250 1668250)))",종합병원
다라30ab68bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,4.849,2022,202210,"MULTIPOLYGON (((930250 1668750, 930250 1669000, 930500 1669000, 930500 1668750, 930250 1668750)))",종합병원
다라29ba68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,6.854,2022,202210,"MULTIPOLYGON (((929500 1668250, 929500 1668500, 929750 1668500, 929750 1668250, 929500 1668250)))",종합병원
다라29bb69ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.79,2022,202210,"MULTIPOLYGON (((929750 1669500, 929750 1669750, 930000 1669750, 930000 1669500, 929750 1669500)))",종합병원
다라29bb69aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.126,2022,202210,"MULTIPOLYGON (((929750 1669000, 929750 1669250, 930000 1669250, 930000 1669000, 929750 1669000)))",종합병원
다라29bb68aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,6.059,2022,202210,"MULTIPOLYGON (((929750 1668000, 929750 1668250, 930000 1668250, 930000 1668000, 929750 1668000)))",종합병원
다라29ba68ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.485,2022,202210,"MULTIPOLYGON (((929500 1668500, 929500 1668750, 929750 1668750, 929750 1668500, 929500 1668500)))",종합병원
다라30aa68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,5.923,2022,202210,"MULTIPOLYGON (((930000 1668250, 930000 1668500, 930250 1668500, 930250 1668250, 930000 1668250)))",종합병원
다라29ab68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,6.601,2022,202210,"MULTIPOLYGON (((929250 1668250, 929250 1668500, 929500 1668500, 929500 1668250, 929250 1668250)))",종합병원
다라30aa68aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,5.633,2022,202210,"MULTIPOLYGON (((930000 1668000, 930000 1668250, 930250 1668250, 930250 1668000, 930000 1668000)))",종합병원
다라30aa69aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,4.064,2022,202210,"MULTIPOLYGON (((930000 1669000, 930000 1669250, 930250 1669250, 930250 1669000, 930000 1669000)))",종합병원
다라29ab68bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.245,2022,202210,"MULTIPOLYGON (((929250 1668750, 929250 1669000, 929500 1669000, 929500 1668750, 929250 1668750)))",종합병원
다라29bb68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,6.209,2022,202210,"MULTIPOLYGON (((929750 1668250, 929750 1668500, 930000 1668500, 930000 1668250, 929750 1668250)))",종합병원
다라29ab69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.59,2022,202210,"MULTIPOLYGON (((929250 1669250, 929250 1669500, 929500 1669500, 929500 1669250, 929250 1669250)))",종합병원
다라30ab69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.812,2022,202210,"MULTIPOLYGON (((930250 1669250, 930250 1669500, 930500 1669500, 930500 1669250, 930250 1669250)))",종합병원
