gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,geometry,구분
다라29bb68ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.954,2022,202210,"MULTIPOLYGON (((929750 1668500, 929750 1668750, 930000 1668750, 930000 1668500, 929750 1668500)))",생활권공원
다라29ba69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.35,2022,202210,"MULTIPOLYGON (((929500 1669250, 929500 1669500, 929750 1669500, 929750 1669250, 929500 1669250)))",생활권공원
다라30ab68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.776,2022,202210,"MULTIPOLYGON (((930250 1668250, 930250 1668500, 930500 1668500, 930500 1668250, 930250 1668250)))",생활권공원
다라29ab68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.159,2022,202210,"MULTIPOLYGON (((929250 1668250, 929250 1668500, 929500 1668500, 929500 1668250, 929250 1668250)))",생활권공원
다라30aa69aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.553,2022,202210,"MULTIPOLYGON (((930000 1669000, 930000 1669250, 930250 1669250, 930250 1669000, 930000 1669000)))",생활권공원
다라30aa68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.997,2022,202210,"MULTIPOLYGON (((930000 1668250, 930000 1668500, 930250 1668500, 930250 1668250, 930000 1668250)))",생활권공원
다라30aa68aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.459,2022,202210,"MULTIPOLYGON (((930000 1668000, 930000 1668250, 930250 1668250, 930250 1668000, 930000 1668000)))",생활권공원
다라29ab69bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.299,2022,202210,"MULTIPOLYGON (((929250 1669750, 929250 1670000, 929500 1670000, 929500 1669750, 929250 1669750)))",생활권공원
다라30aa68bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.441,2022,202210,"MULTIPOLYGON (((930000 1668750, 930000 1669000, 930250 1669000, 930250 1668750, 930000 1668750)))",생활권공원
다라29ba68bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.668,2022,202210,"MULTIPOLYGON (((929500 1668750, 929500 1669000, 929750 1669000, 929750 1668750, 929500 1668750)))",생활권공원
