gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,geometry,구분
다라29ab68bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.099,2022,202210,"MULTIPOLYGON (((929250 1668750, 929250 1669000, 929500 1669000, 929500 1668750, 929250 1668750)))",도서관
다라29bb68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.846,2022,202210,"MULTIPOLYGON (((929750 1668250, 929750 1668500, 930000 1668500, 930000 1668250, 929750 1668250)))",도서관
다라30ab68ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.798,2022,202210,"MULTIPOLYGON (((930250 1668500, 930250 1668750, 930500 1668750, 930500 1668500, 930250 1668500)))",도서관
다라29bb68aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.584,2022,202210,"MULTIPOLYGON (((929750 1668000, 929750 1668250, 930000 1668250, 930000 1668000, 929750 1668000)))",도서관
다라29ba68ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.339,2022,202210,"MULTIPOLYGON (((929500 1668500, 929500 1668750, 929750 1668750, 929750 1668500, 929500 1668500)))",도서관
다라29ab68ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.319,2022,202210,"MULTIPOLYGON (((929250 1668500, 929250 1668750, 929500 1668750, 929500 1668500, 929250 1668500)))",도서관
다라30aa68ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.85,2022,202210,"MULTIPOLYGON (((930000 1668500, 930000 1668750, 930250 1668750, 930250 1668500, 930000 1668500)))",도서관
다라29bb69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.727,2022,202210,"MULTIPOLYGON (((929750 1669250, 929750 1669500, 930000 1669500, 930000 1669250, 929750 1669250)))",도서관
다라29bb68bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.35,2022,202210,"MULTIPOLYGON (((929750 1668750, 929750 1669000, 930000 1669000, 930000 1668750, 929750 1668750)))",도서관
다라29ab69aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.822,2022,202210,"MULTIPOLYGON (((929250 1669000, 929250 1669250, 929500 1669250, 929500 1669000, 929250 1669000)))",도서관
다라30aa69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.102,2022,202210,"MULTIPOLYGON (((930000 1669250, 930000 1669500, 930250 1669500, 930250 1669250, 930000 1669250)))",도서관
다라30aa69aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.918,2022,202210,"MULTIPOLYGON (((930000 1669000, 930000 1669250, 930250 1669250, 930250 1669000, 930000 1669000)))",도서관
다라29ab68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.33,2022,202210,"MULTIPOLYGON (((929250 1668250, 929250 1668500, 929500 1668500, 929500 1668250, 929250 1668250)))",도서관
다라30aa68aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.042,2022,202210,"MULTIPOLYGON (((930000 1668000, 930000 1668250, 930250 1668250, 930250 1668000, 930000 1668000)))",도서관
다라30aa68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.168,2022,202210,"MULTIPOLYGON (((930000 1668250, 930000 1668500, 930250 1668500, 930250 1668250, 930000 1668250)))",도서관
다라29ab69ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.247,2022,202210,"MULTIPOLYGON (((929250 1669500, 929250 1669750, 929500 1669750, 929500 1669500, 929250 1669500)))",도서관
다라29ba69ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.386,2022,202210,"MULTIPOLYGON (((929500 1669500, 929500 1669750, 929750 1669750, 929750 1669500, 929500 1669500)))",도서관
다라30ab69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.8,2022,202210,"MULTIPOLYGON (((930250 1669250, 930250 1669500, 930500 1669500, 930500 1669250, 930250 1669250)))",도서관
다라29ba68bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.013,2022,202210,"MULTIPOLYGON (((929500 1668750, 929500 1669000, 929750 1669000, 929750 1668750, 929500 1668750)))",도서관
다라30ab68bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,4.1,2022,202210,"MULTIPOLYGON (((930250 1668750, 930250 1669000, 930500 1669000, 930500 1668750, 930250 1668750)))",도서관
다라29ab69bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.945,2022,202210,"MULTIPOLYGON (((929250 1669750, 929250 1670000, 929500 1670000, 929500 1669750, 929250 1669750)))",도서관
다라29ba69aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.878,2022,202210,"MULTIPOLYGON (((929500 1669000, 929500 1669250, 929750 1669250, 929750 1669000, 929500 1669000)))",도서관
다라29bb69ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.644,2022,202210,"MULTIPOLYGON (((929750 1669500, 929750 1669750, 930000 1669750, 930000 1669500, 929750 1669500)))",도서관
다라29bb69aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.98,2022,202210,"MULTIPOLYGON (((929750 1669000, 929750 1669250, 930000 1669250, 930000 1669000, 929750 1669000)))",도서관
다라29ba68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.583,2022,202210,"MULTIPOLYGON (((929500 1668250, 929500 1668500, 929750 1668500, 929750 1668250, 929500 1668250)))",도서관
다라30ab69aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.828,2022,202210,"MULTIPOLYGON (((930250 1669000, 930250 1669250, 930500 1669250, 930500 1669000, 930250 1669000)))",도서관
다라30aa68bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.807,2022,202210,"MULTIPOLYGON (((930000 1668750, 930000 1669000, 930250 1669000, 930250 1668750, 930000 1668750)))",도서관
