충전소명,충전소 주소,대분류,소분류,충전소ID,충전기ID,충전기타입,충전용량,충전방식(단독_동시),충전기상태,상태정보수신일,마지막 충전시작일시,마지막 충전종료일시,충전중 충전시작일시,2023년 10월 충전횟수,2023년 10월 충전량,2023년 11월 충전횟수,2023년 11월 충전량,2023년 12월 충전횟수,2023년 12월 충전량,2024년 1월 충전횟수,2024년 1월 충전량
암사1동 공영주차장,서울특별시 강동구 고덕로28길 36  지하1층 좌측,주차시설,공영주차장,ME174003,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:15,2024-02-05 23:09,2024-02-05 23:26,,117,2493.21,139,2686.23,139,2736.34,142,2722.15
천호유수지 공영주차장,서울특별시 강동구 선사로 70  입구 좌측 끝,주차시설,공영주차장,ME174004,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:13,2024-02-06 2:28,2024-02-06 3:05,,133,1957.62,123,1664.37,202,2680.35,144,2108.19
천호3동 제1공영주차장,서울특별시 강동구 진황도로29길 34  지하1층 26,주차시설,공영주차장,ME174005,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:16,2024-02-05 21:35,2024-02-05 21:59,,68,1325.68,103,1990.31,133,2558.17,114,2207.47
가로공원로 지하공영주차장,서울특별시 강서구 가로공원로 189  지하주차장 05,주차시설,공영주차장,ME174006,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:14,2024-02-06 7:57,2024-02-06 8:40,,51,1128.26,145,3124.14,175,3854.76,141,3130.4
곰달래문화복지센터 공영주차장,서울특별시 강서구 강서로5길 50  지상주차장,주차시설,공영주차장,ME174007,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:13,2024-02-06 8:43,2024-02-06 9:26,,172,2292.26,192,2766.59,239,3136.43,211,2525.28
볏골공원 지하공영주차장,서울특별시 강서구 까치산로4길 22  지하주차장 101,주차시설,공영주차장,ME174008,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:11,2024-02-06 1:22,2024-02-06 2:03,,64,1128.3,111,1871.53,134,1993.75,136,2218.82
화곡6-1 공영주차장,서울특별시 강서구 우장산로 114  2층 24,주차시설,공영주차장,ME174009,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:14,2024-02-06 9:09,2024-02-06 9:29,,73,1440.72,111,2192.98,116,2261.25,173,3347.12
신림동 제1공영주차장,서울특별시 관악구 관천로 98  1층,주차시설,공영주차장,ME174011,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,충전중,2024-02-06 10:14,2024-02-05 21:12,2024-02-05 21:44,2024-02-06 10:04,152,2136.13,148,2121.79,200,3146.31,168,2643.56
난곡동 제1공영주차장,서울특별시 관악구 난곡로34길 71 ,주차시설,공영주차장,ME174012,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:16,2024-02-06 8:21,2024-02-06 9:01,,75,1163.55,116,1660.02,97,1391.26,61,904.42
낙성대동주민센터,서울특별시 관악구 낙성대로4가길 5 ,기타시설,공중전화부스,ME174013,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:16,2024-02-05 23:00,2024-02-05 23:29,,66,1118.43,131,1995.18,158,2357.45,153,2346.25
보라매 제1공영주차장,"서울특별시 관악구 봉천로21길 38  입구좌측, 지하 각 1기",주차시설,공영주차장,ME174014,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:12,2024-02-06 7:00,2024-02-06 7:46,,130,2211.81,167,2714.43,181,2682.0,220,3277.87
보라매 제1공영주차장,"서울특별시 관악구 봉천로21길 38  입구좌측, 지하 각 1기",주차시설,공영주차장,ME174014,2,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:14,2024-02-05 23:38,2024-02-06 0:24,,36,767.32,61,1402.1,60,1238.51,49,923.83
원신 공영주차장,서울특별시 관악구 양지길 63  옥상,주차시설,공영주차장,ME174015,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:16,2024-02-04 17:52,2024-02-04 18:35,,117,2127.13,174,3257.02,155,2812.03,87,1468.2
어린이대공원 후문주차장,서울특별시 광진구 능동로 216 어린이대공원 후문주차장,관광시설,관광지,ME174016,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:13,2024-02-06 9:52,2024-02-06 9:59,,102,1352.6,97,1862.21,122,2146.35,133,2089.1
롯데마트 중계점,서울특별시 노원구 노원로 330  옥상 매장 앞,상업시설,마트(쇼핑몰),ME174018,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:14,2024-02-05 19:13,2024-02-05 19:40,,14,184.72,24,353.0,25,384.33,16,216.42
실증용 Mock-up 주택 홍보관,서울특별시 노원구 하계동 251-8 ,관광시설,홍보관,ME174020,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:11,2024-02-06 8:37,2024-02-06 9:13,,114,1780.12,118,1942.68,104,1404.07,102,1535.08
실증용 Mock-up 주택 홍보관,서울특별시 노원구 하계동 251-8 ,관광시설,홍보관,ME174020,2,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:16,2024-02-06 7:56,2024-02-06 8:36,,178,3110.56,204,3475.74,187,3003.16,175,2916.45
