충전소명,충전소 주소,대분류,소분류,충전소ID,충전기ID,충전기타입,충전용량,충전방식(단독_동시),충전기상태,상태정보수신일,마지막 충전시작일시,마지막 충전종료일시,충전중 충전시작일시,2023년 10월 충전횟수,2023년 10월 충전량,2023년 11월 충전횟수,2023년 11월 충전량,2023년 12월 충전횟수,2023년 12월 충전량,2024년 1월 충전횟수,2024년 1월 충전량
반남면사무소,전라남도 나주시 반남면 자미로 6 ,공공시설,주민센터,ME183010,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:13,2024-02-04 11:41,2024-02-04 12:20,,14,212.42,17,192.23,11,121.92,11,97.39
다시면사무소,전라남도 나주시 다시면 다시로 175-24 ,공공시설,주민센터,ME183011,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:13,2024-02-05 7:12,2024-02-05 7:55,,32,558.92,16,210.96,43,796.38,27,437.05
다도면사무소,전라남도 나주시 다도면 다도로 759 ,공공시설,주민센터,ME183012,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:14,2024-02-03 15:46,2024-02-03 15:58,,12,179.14,16,282.44,13,210.53,12,191.37
롯데마트 나주점,"전라남도 나주시 내동길 15 , 지상주차장 1층 54구역",상업시설,마트(쇼핑몰),ME184084,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:14,2024-02-05 11:52,2024-02-05 12:32,,56,695.36,65,856.96,80,895.03,57,522.56
롯데마트 나주점,"전라남도 나주시 송월동 1106-2, 1층 ",상업시설,마트(쇼핑몰),ME18A149,1,DC차데모+AC3상+DC콤보,급속(100kW멀티),단독,사용가능,2024-02-06 10:14,2024-02-05 14:59,2024-02-05 15:21,,79,1574.79,91,1815.36,86,1826.04,70,1754.37
빛가람전망대 전망대 바로 앞 주차장,전라남도 나주시 빛가람동 346-1 ,관광시설,공원,ME18A225,11,DC콤보,급속(200kW동시),동시,사용가능,2024-02-06 10:12,2024-02-05 9:51,2024-02-05 10:21,,102,3077.73,120,3438.3,95,3108.11,88,2424.04
빛가람전망대 전망대 바로 앞 주차장,전라남도 나주시 빛가람동 346-1 ,관광시설,공원,ME18A225,12,DC콤보,급속(200kW동시),동시,사용가능,2024-02-06 10:12,2024-02-06 9:28,2024-02-06 9:51,,100,2609.2,104,2511.39,111,2689.89,102,2472.05
한국농촌경제연구원,전라남도 나주시 빛가람로 601 ,공공시설,공공기관,ME18A226,11,DC콤보,급속(200kW동시),동시,사용가능,2024-02-06 10:13,2024-02-05 14:52,2024-02-05 14:56,,25,793.69,36,910.98,29,685.11,34,920.15
한국농촌경제연구원,전라남도 나주시 빛가람로 601 ,공공시설,공공기관,ME18A226,12,DC콤보,급속(200kW동시),동시,사용가능,2024-02-06 10:13,2024-02-05 21:01,2024-02-05 21:31,,45,1134.9,51,1373.04,45,1199.57,47,1207.71
나주문화예술회관,전라남도 나주시 예향로 4137 ,교육문화시설,공연장,ME19B122,11,DC콤보,급속(100kW동시),동시,사용가능,2024-02-06 10:13,2024-02-03 17:25,2024-02-03 18:08,,43,909.47,36,608.34,33,658.17,28,577.52
나주문화예술회관,전라남도 나주시 예향로 4137 ,교육문화시설,공연장,ME19B122,12,DC콤보,급속(100kW동시),동시,사용가능,2024-02-06 10:13,2024-02-05 13:41,2024-02-05 14:24,,91,2002.21,82,1769.41,62,1189.75,62,1199.73
나주시의회,전라남도 나주시 송월동 1100 ,공공시설,관공서,ME19B123,1,DC콤보,급속(100kW단독),단독,사용가능,2024-02-06 10:16,2024-02-03 10:55,2024-02-03 11:38,,36,1014.03,21,523.39,43,1001.19,45,1070.76
나주종합스포츠파크,전라남도 나주시 송월동 1078-2 ,교육문화시설,경기장,ME19B124,11,DC콤보,급속(100kW동시),동시,사용가능,2024-02-06 10:13,2024-02-03 11:32,2024-02-03 12:15,,10,285.1,17,419.38,20,456.15,16,328.84
나주종합스포츠파크,전라남도 나주시 송월동 1078-2 ,교육문화시설,경기장,ME19B124,12,DC콤보,급속(100kW동시),동시,사용가능,2024-02-06 10:13,2024-02-05 12:06,2024-02-05 12:48,,23,538.68,30,666.23,46,921.36,34,761.96
남평재가복지센터,전라남도 나주시 남평읍 남평리 66 ,근린생활시설,복지관,ME19B125,1,DC콤보,급속(100kW단독),단독,충전중,2024-02-06 10:15,2024-02-05 20:49,2024-02-05 21:32,2024-02-06 10:05,64,1606.5,84,1764.36,63,1008.12,45,1052.59
성북동 금빛상가공영주차장,전라남도 나주시 성북동 207 ,주차시설,공영주차장,ME19B176,11,DC콤보,급속(100kW동시),동시,사용가능,2024-02-06 10:16,2024-02-05 14:23,2024-02-05 15:06,,18,466.41,36,826.85,43,1301.11,76,1888.22
성북동 금빛상가공영주차장,전라남도 나주시 성북동 207 ,주차시설,공영주차장,ME19B176,12,DC콤보,급속(100kW동시),동시,사용가능,2024-02-06 10:16,2024-02-06 6:43,2024-02-06 7:24,,55,1507.04,50,1372.41,59,1858.33,83,1997.58
송월동행정복지센터,전라남도 나주시 송월동 1356 ,공공시설,주민센터,ME19B177,1,DC콤보,급속(100kW단독),단독,사용가능,2024-02-06 10:15,2024-02-05 18:01,2024-02-05 18:16,,51,1376.68,96,2408.58,55,1289.99,83,1977.73
나주세무서,전라남도 나주시 재신길 33 ,공공시설,관공서,ME19B181,1,DC콤보,급속(100kW단독),단독,사용가능,2024-02-06 10:13,2024-02-05 10:26,2024-02-05 11:06,,32,950.93,31,762.34,29,717.63,32,811.48
빛가람수질복원센터,전라남도 나주시 문화로 16 ,공공시설,지자체시설,ME19B215,21,DC콤보,급속(200kW동시),동시,사용가능,2024-02-06 9:49,2024-02-06 7:37,2024-02-06 8:17,,5,138.42,13,258.27,22,603.59,40,1078.6
